merchant_name,category,zipcode,payment_type,transaction_amount,date_posted
Pizza Hot,Entertainment,85265,VISA,840,9/19/2012
Pizza Hot,Hobby,85265,VISA,199,9/19/2012
Pizza Hot,Hobby,85265,Discover,198,9/19/2012
Pizza Hot,Education,85265,AMX,1000,9/19/2012
Pizza Hot,Entertainment,85265,AMX,3638,9/19/2012
Pizza Hot,Entertainment,85265,Discover,630,9/19/2012
Pizza Hot,Food and Restaurent,85265,AMX,435,9/19/2012
Pizza Hot,Education,85265,MA,768,9/19/2012
Pizza Hot,Food and Restaurent,85432,AMX,538,9/19/2012
Pizza Hot,Entertainment,85265,AMX,2400,9/19/2012
Pizza Hot,Hobby,85265,AMX,1760,9/19/2012
Pizza Hot,Food and Restaurent,85265,AMX,350,9/19/2012
Pizza Hot,Vacation,85432,AMX,66666,9/19/2012
Pizza Hot,Vacation,85432,AMX,700,9/19/2012
Pizza Hot,Hobby,85265,VISA,214,9/19/2012
Pizza Hot,Entertainment,85265,AMX,3462,9/19/2012
Pizza Hot,Hobby,85432,AMX,743,9/19/2012
Pizza Hot,Entertainment,85265,AMX,1241,9/19/2012
Pizza Hot,Entertainment,85265,AMX,1760,9/19/2012
Pizza Hot,Food and Restaurent,85265,AMX,512,9/19/2012
Pizza Hot,Food and Restaurent,85265,MA,1510,9/19/2012
Pizza Hot,Entertainment,85121,AMX,780,9/19/2012
Pizza Hot,Food and Restaurent,85265,AMX,1512,9/19/2012
Pizza Hot,Entertainment,85432,AMX,699,9/19/2012
Pizza Hot,Hobby,85265,Discover,1277.54,9/19/2012
Pizza Hot,Entertainment,85265,AMX,380,9/19/2012
Pizza Hot,Entertainment,85265,AMX,830,9/19/2012
Pizza Hot,Entertainment,85432,AMX,300,9/19/2012
Pizza Hot,Hobby,85265,VISA,420,9/19/2012
Pizza Hot,Education,85265,MA,850,9/19/2012
Pizza Hot,Hobby,85265,Discover,429,9/19/2012
Pizza Hot,Food and Restaurent,85265,AMX,3499,9/19/2012
Pizza Hot,Food and Restaurent,85265,AMX,0,9/19/2012
Pizza Hot,Education,85432,AMX,1325,9/19/2012
Pizza Hot,Food and Restaurent,85265,AMX,0,9/19/2012
Pizza Hot,Hobby,85265,AMX,201,9/19/2012
Pizza Hot,Education,85265,AMX,389,9/19/2012
Pizza Hot,Gamble,85265,AMX,577,9/19/2012
Pizza Hot,Entertainment,85432,AMX,399,9/19/2012
Pizza Hot,Entertainment,85265,AMX,935,9/19/2012
Pizza Hot,Entertainment,85265,AMX,4700,9/19/2012
Pizza Hot,Hobby,85265,AMX,209,9/19/2012
Pizza Hot,Education,85265,AMX,1000,9/19/2012
Pizza Hot,Entertainment,85265,AMX,233,9/19/2012
Pizza Hot,Entertainment,85265,AMX,5069,9/19/2012
Pizza Hot,Gamble,85265,MA,0,9/19/2012
Pizza Hot,Gamble,85265,MA,0,9/19/2012
Pizza Hot,Food and Restaurent,85121,Discover,125,9/19/2012
Pizza Hot,Entertainment,85432,VISA,88,9/19/2012
Pizza Hot,Food and Restaurent,85265,VISA,385,9/19/2012
Pizza Hot,Food and Restaurent,85265,VISA,690.91,9/19/2012
Pizza Hot,Entertainment,85265,AMX,267,9/19/2012
Pizza Hot,Food and Restaurent,85265,VISA,214,9/19/2012
Pizza Hot,Entertainment,85265,Discover,230,9/19/2012
Pizza Hot,Hobby,85265,Discover,325,9/19/2012
Pizza Hot,Entertainment,85265,VISA,0,9/19/2012
Pizza Hot,Hobby,85265,Discover,430,9/19/2012
Pizza Hot,Hobby,85265,Discover,201,9/19/2012
Pizza Hot,Food and Restaurent,85265,Discover,135,9/19/2012
Pizza Hot,Entertainment,85265,MA,1100,9/19/2012
Pizza Hot,Hobby,85265,Discover,300,9/19/2012
Pizza Hot,Hobby,85265,Discover,390,9/19/2012
Pizza Hot,Food and Restaurent,85265,AMX,550,9/19/2012
Pizza Hot,Hobby,85265,Discover,560,9/19/2012
Pizza Hot,Food and Restaurent,85265,VISA,400,9/19/2012
Pizza Hot,Food and Restaurent,85265,MA,1873,9/19/2012
Pizza Hot,Education,85265,Discover,484,9/19/2012
Pizza Hot,Hobby,85265,VISA,353,9/19/2012
Pizza Hot,Hobby,85265,VISA,352,9/19/2012
Pizza Hot,Education,85265,Discover,407,9/19/2012
Pizza Hot,Food and Restaurent,85265,MA,619,9/19/2012
Pizza Hot,Education,85432,AMX,3378,9/19/2012
Pizza Hot,Entertainment,85265,Discover,126,9/19/2012
Pizza Hot,Hobby,85265,Discover,0,9/19/2012
Pizza Hot,Hobby,85265,Discover,187,9/19/2012
Pizza Hot,Food and Restaurent,85265,Discover,560,9/19/2012
Pizza Hot,Hobby,85265,Discover,315,9/20/2012
Pizza Hot,Hobby,85265,Discover,410,9/20/2012
Pizza Hot,Food and Restaurent,85265,VISA,143,9/20/2012
Pizza Hot,Education,85265,Discover,440,9/20/2012
Pizza Hot,Food and Restaurent,85265,VISA,104,9/20/2012
Pizza Hot,Food and Restaurent,85265,MA,265,9/20/2012
Pizza Hot,Food and Restaurent,85265,Discover,79,9/20/2012
Pizza Hot,Entertainment,85265,MA,600,9/20/2012
Pizza Hot,Hobby,85265,AMX,440,9/20/2012
Pizza Hot,Entertainment,85265,VISA,1000,9/20/2012
Pizza Hot,Food and Restaurent,85265,AMX,600,9/20/2012
Pizza Hot,Food and Restaurent,85265,Discover,0,9/20/2012
Pizza Hot,Hobby,85265,AMX,212,9/20/2012
Pizza Hot,Hobby,85265,AMX,1350,9/20/2012
Pizza Hot,Hobby,85265,AMX,1201,9/20/2012
Pizza Hot,Hobby,85265,VISA,176,9/20/2012
Pizza Hot,Education,85265,VISA,261,9/20/2012
Pizza Hot,Food and Restaurent,85265,Discover,377,9/20/2012
Pizza Hot,Food and Restaurent,85265,Discover,400,9/20/2012
Pizza Hot,Entertainment,85265,MA,242,9/20/2012
Pizza Hot,Food and Restaurent,85265,Discover,154,9/20/2012
Pizza Hot,Entertainment,85265,Discover,605,9/20/2012
Pizza Hot,Education,85265,AMX,1911,9/20/2012
Pizza Hot,Entertainment,85432,MA,240,9/20/2012
Pizza Hot,Vacation,85121,MA,77777,9/20/2012
Pizza Hot,Gamble,85265,MA,0,9/20/2012
Pizza Hot,Hobby,85265,AMX,2100,9/23/2012
Pizza Hot,Hobby,85265,AMX,1300,9/23/2012
Pizza Hot,Gamble,85265,MA,0,9/23/2012
Pizza Hot,Education,85265,VISA,351.6,9/24/2012
Pizza Hot,Food and Restaurent,85265,MA,250,9/24/2012
Pizza Hot,Hobby,85265,AMX,0,9/24/2012
Pizza Hot,Hobby,85265,AMX,385,9/25/2012
Pizza Hot,Hobby,85265,VISA,214,9/25/2012
Pizza Hot,Food and Restaurent,85265,AMX,0,9/26/2012
Pizza Hot,Entertainment,85265,Discover,301,9/26/2012
Pizza Hot,Education,85265,AMX,800,9/27/2012
Pizza Hot,Hobby,85265,Discover,0,9/27/2012
Pizza Hot,Entertainment,85265,MA,252,9/27/2012
Pizza Hot,Entertainment,85265,MA,65,9/27/2012
Pizza Hot,Entertainment,85265,Discover,330,9/27/2012
Pizza Hot,Entertainment,85265,Discover,385,9/30/2012
Pizza Hot,Entertainment,85265,MA,68,9/30/2012
Pizza Hot,Hobby,85265,MA,586,10/1/2012
Pizza Hot,Entertainment,85265,MA,227,10/1/2012
Pizza Hot,Food and Restaurent,85432,AMX,0,10/1/2012
Pizza Hot,Hobby,85265,Discover,0,10/1/2012
Pizza Hot,Hobby,85265,Discover,442,10/3/2012
Pizza Hot,Entertainment,85265,MA,214,10/3/2012
Pizza Hot,Food and Restaurent,85265,MA,385,10/3/2012
Pizza Hot,Entertainment,85265,AMX,0,10/3/2012
Pizza Hot,Education,85265,MA,133,10/3/2012
Pizza Hot,Entertainment,85265,MA,253,10/3/2012
Pizza Hot,Entertainment,85265,AMX,572,10/3/2012
Pizza Hot,Education,85265,VISA,264,10/3/2012
Pizza Hot,Hobby,85265,AMX,1335,10/3/2012
Pizza Hot,Hobby,85265,Discover,0,10/8/2012
Pizza Hot,Food and Restaurent,85265,MA,220,10/8/2012
Pizza Hot,Food and Restaurent,85265,MA,47,10/9/2012
Pizza Hot,Food and Restaurent,85265,Discover,0,10/9/2012
Pizza Hot,Entertainment,85265,Discover,415.35,10/9/2012
Pizza Hot,Hobby,85265,VISA,599,10/9/2012
Pizza Hot,Food and Restaurent,85265,AMX,737,10/9/2012
Pizza Hot,Food and Restaurent,85265,MA,374,10/10/2012
Pizza Hot,Food and Restaurent,85265,MA,484,10/10/2012
Pizza Hot,Entertainment,85265,Discover,286,10/11/2012
Pizza Hot,Entertainment,85265,MA,54,10/11/2012
Pizza Hot,Hobby,85265,Discover,0,10/15/2012
Pizza Hot,Entertainment,85265,Discover,383,10/15/2012
Pizza Hot,Entertainment,85265,MA,374,10/15/2012
Pizza Hot,Entertainment,85265,Discover,385,10/15/2012
Pizza Hot,Entertainment,85265,Discover,0,10/15/2012
Pizza Hot,Entertainment,85265,VISA,238,10/15/2012
Pizza Hot,Hobby,85265,AMX,1243.4,10/15/2012
Pizza Hot,Entertainment,85265,AMX,0,10/15/2012
Pizza Hot,Food and Restaurent,85265,Discover,291,10/15/2012
Pizza Hot,Food and Restaurent,85265,Discover,231,10/16/2012
Pizza Hot,Entertainment,85265,AMX,942,10/16/2012
Pizza Hot,Food and Restaurent,85265,VISA,74,10/16/2012
Pizza Hot,Entertainment,85265,MA,1099.84,10/16/2012
Pizza Hot,Gamble,85265,MA,0,10/17/2012
Pizza Hot,Entertainment,85265,MA,330,10/17/2012
Pizza Hot,Gamble,85265,Discover,250,10/17/2012
Pizza Hot,Food and Restaurent,85265,Discover,140,10/17/2012
Pizza Hot,Food and Restaurent,85432,Discover,201,10/18/2012
Pizza Hot,Entertainment,85432,Discover,244,10/21/2012
Pizza Hot,Entertainment,85265,MA,335,10/21/2012
Pizza Hot,Food and Restaurent,85265,MA,0,10/21/2012
Pizza Hot,Food and Restaurent,85265,MA,395,10/22/2012
Pizza Hot,Hobby,85265,VISA,978,10/22/2012
Pizza Hot,Education,85265,AMX,2623,10/23/2012
Pizza Hot,Food and Restaurent,85265,MA,121,10/23/2012
Pizza Hot,Food and Restaurent,85432,MA,53,10/23/2012
Pizza Hot,Food and Restaurent,85265,VISA,1067,10/23/2012
Pizza Hot,Food and Restaurent,85265,MA,654,10/23/2012
Pizza Hot,Hobby,85265,Discover,314,10/23/2012
Pizza Hot,Hobby,85265,MA,129,10/23/2012
Pizza Hot,Food and Restaurent,85265,MA,59,10/24/2012
Pizza Hot,Food and Restaurent,85265,MA,83,10/24/2012
Pizza Hot,Food and Restaurent,85265,MA,230,10/24/2012
Pizza Hot,Hobby,85265,AMX,1559,10/24/2012
Pizza Hot,Food and Restaurent,85265,Discover,201,10/24/2012
Pizza Hot,Food and Restaurent,85265,Discover,283,10/24/2012
Pizza Hot,Hobby,85265,Discover,502.5,10/24/2012
Pizza Hot,Food and Restaurent,85265,VISA,270,10/25/2012
Pizza Hot,Hobby,85265,VISA,253,10/25/2012
Pizza Hot,Food and Restaurent,85265,VISA,285,10/27/2012
Pizza Hot,Gamble,85265,MA,0,10/27/2012
Pizza Hot,Entertainment,85265,VISA,746,10/27/2012
Pizza Hot,Entertainment,85265,VISA,393,10/27/2012
Pizza Hot,Hobby,85265,Discover,278,10/28/2012
Pizza Hot,Entertainment,85265,VISA,495,10/28/2012
Pizza Hot,Entertainment,85265,Discover,397,10/28/2012
Pizza Hot,Entertainment,85432,MA,0,10/29/2012
Pizza Hot,Food and Restaurent,85265,VISA,0,10/30/2012
Pizza Hot,Hobby,85265,MA,500,10/30/2012
Pizza Hot,Food and Restaurent,85265,Discover,249,10/30/2012
Pizza Hot,Food and Restaurent,85265,VISA,0,10/30/2012
Pizza Hot,Food and Restaurent,85265,Discover,258,10/30/2012
Pizza Hot,Hobby,85265,Discover,600,11/2/2012
Pizza Hot,Food and Restaurent,85265,Discover,157,11/5/2012
Pizza Hot,Hobby,85265,VISA,282,11/5/2012
Pizza Hot,Hobby,85265,MA,167,11/5/2012
Pizza Hot,Food and Restaurent,85265,AMX,785,11/5/2012
Pizza Hot,Food and Restaurent,85265,MA,0,11/5/2012
Pizza Hot,Food and Restaurent,85265,MA,385,11/5/2012
Pizza Hot,Food and Restaurent,85265,Discover,570,11/5/2012
Pizza Hot,Food and Restaurent,85432,VISA,0,11/6/2012
Pizza Hot,Food and Restaurent,85265,VISA,255,11/7/2012
Pizza Hot,Food and Restaurent,85265,VISA,1655,11/7/2012
Pizza Hot,Hobby,85265,MA,108,11/8/2012
Pizza Hot,Hobby,85265,MA,108,11/9/2012
Pizza Hot,Hobby,85265,VISA,1278,11/9/2012
Pizza Hot,Food and Restaurent,85265,MA,102,11/9/2012
Pizza Hot,Food and Restaurent,85121,MA,480,11/9/2012
Pizza Hot,Food and Restaurent,85265,Discover,324.5,11/9/2012
Pizza Hot,Gamble,85265,VISA,230,11/9/2012
Pizza Hot,Food and Restaurent,85265,Discover,274,11/9/2012
Pizza Hot,Food and Restaurent,85265,AMX,1027.4,11/9/2012
Pizza Hot,Education,85265,MA,201,11/9/2012
Pizza Hot,Hobby,85265,MA,426,11/9/2012
Pizza Hot,Hobby,85265,AMX,561,11/9/2012
Pizza Hot,Food and Restaurent,85265,VISA,445,11/9/2012
Pizza Hot,Hobby,85265,Discover,0,11/9/2012
Pizza Hot,Hobby,85265,AMX,1610,11/9/2012
Pizza Hot,Food and Restaurent,85265,AMX,1610,11/9/2012
Pizza Hot,Food and Restaurent,85265,Discover,167,11/9/2012
Pizza Hot,Entertainment,85265,Discover,758.36,11/9/2012
Pizza Hot,Food and Restaurent,85265,Discover,95,11/9/2012
Pizza Hot,Entertainment,85265,VISA,83,11/9/2012
Pizza Hot,Food and Restaurent,85265,Discover,233.2,11/9/2012
Pizza Hot,Food and Restaurent,85432,AMX,353.1,11/9/2012
Pizza Hot,Food and Restaurent,85265,MA,199.1,11/9/2012
Pizza Hot,Food and Restaurent,85265,MA,0,11/9/2012
Pizza Hot,Food and Restaurent,85265,VISA,414,11/9/2012
Pizza Hot,Food and Restaurent,85265,MA,254,11/9/2012
Pizza Hot,Gamble,85265,VISA,468,11/9/2012
Pizza Hot,Hobby,85265,VISA,500,11/9/2012
Pizza Hot,Hobby,85265,Discover,267.3,11/9/2012
Pizza Hot,Food and Restaurent,85265,AMX,473.87,11/9/2012
Pizza Hot,Food and Restaurent,85265,MA,257.4,11/9/2012
Pizza Hot,Food and Restaurent,85265,MA,264,11/9/2012
Pizza Hot,Hobby,85265,MA,361.9,11/9/2012
Pizza Hot,Food and Restaurent,85265,VISA,251.9,11/9/2012
Pizza Hot,Entertainment,85265,VISA,289.3,11/9/2012
Pizza Hot,Entertainment,85265,AMX,814,11/9/2012
Pizza Hot,Food and Restaurent,85265,MA,205,11/9/2012
Pizza Hot,Hobby,85265,Discover,480.7,11/9/2012
Pizza Hot,Food and Restaurent,85265,Discover,400,11/9/2012
Pizza Hot,Hobby,85265,Discover,799.7,11/9/2012
Pizza Hot,Food and Restaurent,85265,MA,132,11/9/2012
Pizza Hot,Hobby,85265,Discover,506,11/9/2012
Pizza Hot,Food and Restaurent,85265,VISA,0,11/9/2012
Pizza Hot,Hobby,85265,AMX,137,11/9/2012
Pizza Hot,Food and Restaurent,85432,MA,320,11/9/2012
Pizza Hot,Food and Restaurent,85432,MA,454.3,11/9/2012
Pizza Hot,Hobby,85265,VISA,0,11/9/2012
Pizza Hot,Entertainment,85265,VISA,364.1,11/9/2012
Pizza Hot,Entertainment,85265,VISA,137.5,11/9/2012
Pizza Hot,Education,85265,Discover,2110,11/9/2012
Pizza Hot,Entertainment,85265,VISA,592.5,11/11/2012
Pizza Hot,Hobby,85265,VISA,289.3,11/11/2012
Pizza Hot,Gamble,85265,MA,0,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,633,11/11/2012
Pizza Hot,Hobby,85265,Discover,734,11/11/2012
Pizza Hot,Hobby,85265,Discover,517,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,420,11/11/2012
Pizza Hot,Food and Restaurent,85265,VISA,472,11/11/2012
Pizza Hot,Entertainment,85265,AMX,0,11/11/2012
Pizza Hot,Entertainment,85265,MA,278.8,11/11/2012
Pizza Hot,Gamble,85265,AMX,321.2,11/11/2012
Pizza Hot,Hobby,85265,Discover,508.2,11/11/2012
Pizza Hot,Hobby,85265,Discover,367.4,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,403.7,11/11/2012
Pizza Hot,Hobby,85265,Discover,539,11/11/2012
Pizza Hot,Entertainment,85265,Discover,429,11/11/2012
Pizza Hot,Gamble,85265,MA,0,11/11/2012
Pizza Hot,Hobby,85265,Discover,453.2,11/11/2012
Pizza Hot,Entertainment,85265,AMX,506,11/11/2012
Pizza Hot,Gamble,85265,MA,0,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,61.6,11/11/2012
Pizza Hot,Food and Restaurent,85265,AMX,198,11/11/2012
Pizza Hot,Entertainment,85265,VISA,619.08,11/11/2012
Pizza Hot,Hobby,85265,Discover,469,11/11/2012
Pizza Hot,Entertainment,85265,Discover,137,11/11/2012
Pizza Hot,Hobby,85265,Discover,145.2,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,516,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,120,11/11/2012
Pizza Hot,Entertainment,85265,VISA,0,11/11/2012
Pizza Hot,Hobby,85265,Discover,380.6,11/11/2012
Pizza Hot,Hobby,85265,Discover,317.9,11/11/2012
Pizza Hot,Hobby,85265,MA,146,11/11/2012
Pizza Hot,Hobby,85265,Discover,298,11/11/2012
Pizza Hot,Hobby,85265,Discover,363,11/11/2012
Pizza Hot,Hobby,85265,Discover,772.5,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,900.9,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,390,11/11/2012
Pizza Hot,Hobby,85121,VISA,313.09,11/11/2012
Pizza Hot,Hobby,85265,VISA,273.55,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,330,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,376.19,11/11/2012
Pizza Hot,Education,85265,AMX,3300,11/11/2012
Pizza Hot,Entertainment,85265,Discover,143.5,11/11/2012
Pizza Hot,Gamble,85265,MA,0,11/11/2012
Pizza Hot,Gamble,85265,MA,0,11/11/2012
Pizza Hot,Gamble,85432,MA,0,11/11/2012
Pizza Hot,Food and Restaurent,85265,VISA,677.65,11/11/2012
Pizza Hot,Hobby,85265,Discover,554,11/11/2012
Pizza Hot,Entertainment,85265,VISA,295.9,11/11/2012
Pizza Hot,Education,85265,MA,978,11/11/2012
Pizza Hot,Hobby,85265,Discover,1560,11/11/2012
Pizza Hot,Education,85265,Discover,555,11/11/2012
Pizza Hot,Hobby,85265,VISA,191.4,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,281.6,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,86.9,11/11/2012
Pizza Hot,Entertainment,85265,Discover,357,11/11/2012
Pizza Hot,Hobby,85265,VISA,460,11/11/2012
Pizza Hot,Gamble,85265,MA,0,11/11/2012
Pizza Hot,Hobby,85265,MA,2362,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,366.3,11/11/2012
Pizza Hot,Hobby,85265,Discover,0,11/11/2012
Pizza Hot,Food and Restaurent,85265,VISA,0,11/11/2012
Pizza Hot,Gamble,85265,MA,0,11/11/2012
Pizza Hot,Hobby,85265,VISA,319,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,175,11/11/2012
Pizza Hot,Hobby,85265,VISA,440,11/11/2012
Pizza Hot,Entertainment,85265,AMX,2237,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,308,11/11/2012
Pizza Hot,Food and Restaurent,85265,VISA,861.45,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,70.4,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,453,11/11/2012
Pizza Hot,Hobby,85265,Discover,309,11/11/2012
Pizza Hot,Entertainment,85265,Discover,419,11/11/2012
Pizza Hot,Food and Restaurent,85432,AMX,528,11/11/2012
Pizza Hot,Entertainment,85265,AMX,525.8,11/11/2012
Pizza Hot,Hobby,85265,Discover,238.7,11/11/2012
Pizza Hot,Hobby,85432,MA,578.6,11/11/2012
Pizza Hot,Entertainment,85265,Discover,300,11/11/2012
Pizza Hot,Entertainment,85265,Discover,251.9,11/11/2012
Pizza Hot,Gamble,85265,Discover,471.49,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,780,11/11/2012
Pizza Hot,Entertainment,85265,Discover,286,11/11/2012
Pizza Hot,Hobby,85265,Discover,811,11/11/2012
Pizza Hot,Entertainment,85265,Discover,440,11/11/2012
Pizza Hot,Food and Restaurent,85265,VISA,580.23,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,550.7,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,0,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,506,11/11/2012
Pizza Hot,Hobby,85265,VISA,627.22,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,222,11/11/2012
Pizza Hot,Entertainment,85265,Discover,242,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,230,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,92.4,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,149.84,11/11/2012
Pizza Hot,Entertainment,85265,VISA,369.6,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,0,11/11/2012
Pizza Hot,Food and Restaurent,85265,VISA,361.9,11/11/2012
Pizza Hot,Food and Restaurent,85265,Discover,95.51,11/11/2012
Pizza Hot,Hobby,85265,AMX,855.8,11/11/2012
Pizza Hot,Entertainment,85265,MA,302.5,11/11/2012
Pizza Hot,Hobby,85265,MA,888.22,11/11/2012
Pizza Hot,Food and Restaurent,85265,VISA,314.6,11/11/2012
Pizza Hot,Entertainment,85265,MA,213,11/11/2012
Pizza Hot,Gamble,85432,AMX,237,11/11/2012
Pizza Hot,Education,85265,Discover,460,11/11/2012
Pizza Hot,Entertainment,85265,VISA,0,11/11/2012
Pizza Hot,Food and Restaurent,85265,MA,235.4,11/11/2012
Pizza Hot,Education,85265,Discover,694.1,11/13/2012
Pizza Hot,Food and Restaurent,85265,MA,643,11/14/2012
Pizza Hot,Education,85265,VISA,341,11/14/2012
Pizza Hot,Food and Restaurent,85265,Discover,1430,11/14/2012
Pizza Hot,Food and Restaurent,85265,MA,390.5,11/15/2012
Pizza Hot,Food and Restaurent,85265,Discover,412.09,11/15/2012
Pizza Hot,Food and Restaurent,85121,VISA,71.5,11/15/2012
Pizza Hot,Entertainment,85265,VISA,157,11/15/2012
Pizza Hot,Gamble,85265,MA,0,11/15/2012
Pizza Hot,Hobby,85265,AMX,1608.1,11/18/2012
Pizza Hot,Hobby,85265,VISA,475,11/18/2012
Pizza Hot,Hobby,85265,Discover,569.68,11/18/2012
Pizza Hot,Entertainment,85265,Discover,370.7,11/19/2012
Pizza Hot,Education,85432,AMX,1639,11/19/2012
Pizza Hot,Food and Restaurent,85265,Discover,381,11/19/2012
Pizza Hot,Food and Restaurent,85265,VISA,2034,11/19/2012
Pizza Hot,Gamble,85265,AMX,671,11/19/2012
Pizza Hot,Gamble,85265,VISA,957,11/19/2012
Pizza Hot,Food and Restaurent,85265,VISA,103,11/26/2012
Pizza Hot,Gamble,85265,MA,0,11/26/2012
Pizza Hot,Education,85265,VISA,539,11/26/2012
Pizza Hot,Gamble,85265,MA,0,11/26/2012
Pizza Hot,Entertainment,85265,Discover,328.89,11/26/2012
Pizza Hot,Entertainment,85265,AMX,1392,11/26/2012
Pizza Hot,Hobby,85265,VISA,793,11/26/2012
Pizza Hot,Hobby,85265,VISA,1450.91,11/26/2012
Pizza Hot,Entertainment,85265,AMX,11500,11/27/2012
Pizza Hot,Entertainment,85265,VISA,436,11/27/2012
Pizza Hot,Hobby,85432,AMX,419,11/27/2012
Pizza Hot,Gamble,85265,MA,0,11/27/2012
Pizza Hot,Food and Restaurent,85265,MA,810.7,11/27/2012
Pizza Hot,Entertainment,85265,VISA,378.73,11/27/2012
Pizza Hot,Entertainment,85265,Discover,283.96,11/27/2012
Pizza Hot,Food and Restaurent,85265,AMX,631.4,11/27/2012
Pizza Hot,Entertainment,85265,Discover,762.45,11/27/2012
